id,sellerType,companyName,projectName,projectStatus,latitude,longitude,localityName,suburbName,cityName,propertyType,bedrooms,listingCategory,size,leadType,price
17358628,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,4.0,Primary,1001,paid,4510000
17359531,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,800,paid,2600000
17359384,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,975,unpaid,3600000
17359366,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,970,unpaid,3585000
17359349,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1050,unpaid,3885000
17359328,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1045,unpaid,3850000
17359316,AGENT,Warsi Realty,Project,Ready to move,22.6527729,88.42816162,Birati,Kolkata North,Kolkata,Apartment,2.0,Primary,860,paid,2752000
17359309,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1040,unpaid,3800000
17359283,AGENT,Warsi Realty,Project,Ready to move,22.64304924,88.42705536,Airport,Other,Kolkata,Apartment,3.0,Primary,1175,paid,3996200
17359221,AGENT,Warsi Realty,Project,Ready to move,22.65254021,88.4282608,Birati,Kolkata North,Kolkata,Apartment,2.0,Primary,909,paid,2908800
17359143,AGENT,Warsi Realty,Project,Ready to move,22.65262032,88.42835999,Birati,Kolkata North,Kolkata,Apartment,2.0,Primary,913,paid,3195000
17359733,AGENT,Mondal Enterprise,Project,Under Construction,22.70187759,88.38426208,Sodepur,Kolkata North,Kolkata,Apartment,3.0,Primary,1150,paid,3105000
17359680,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,911,paid,3000000
17359662,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,912,paid,3000000
17359626,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,913,paid,3000000
17359581,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,914,paid,3000000
17361416,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Primary,700,paid,2400000
17361264,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Resale,802,paid,3400000
17361173,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,3.0,Resale,1399,paid,8000000
17358566,AGENT,Reliable Realtors,Project,Ready to move,22.66641235,88.39214325,Belghoria,Kolkata North,Kolkata,Independent House,4.0,Resale,3300,paid,5900000
17360990,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Primary,1293,paid,7400000
17360937,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Resale,800,paid,2200000
17351199,AGENT,Avijit Mondol,Project,Ready to move,22.5035553,88.40609741,Hussainpur,Other,Kolkata,Apartment,2.0,Primary,700,paid,1950000
17351197,AGENT,Avijit Mondol,Project,Ready to move,22.5035553,88.40609741,Hussainpur,Other,Kolkata,Apartment,2.0,Primary,850,paid,2400000
17351194,AGENT,Avijit Mondol,Project,Ready to move,22.5035553,88.40609741,Hussainpur,Other,Kolkata,Independent Floor,3.0,Resale,1507,paid,6500000
17351192,AGENT,Avijit Mondol,Project,Ready to move,22.49327469,88.40232086,Mukundapur,Kolkata South,Kolkata,Apartment,2.0,Resale,755,paid,2300000
17351191,AGENT,Avijit Mondol,Project,Ready to move,22.49732399,88.40776825,Mukundapur,Kolkata South,Kolkata,Apartment,1.0,Primary,400,paid,1030000
17351188,AGENT,Avijit Mondol,Project,Under Construction,22.49327469,88.40232086,Mukundapur,Kolkata South,Kolkata,Apartment,2.0,Primary,780,paid,2200000
17351187,AGENT,Avijit Mondol,Project,Ready to move,22.49370384,88.40661621,Mukundapur,Kolkata South,Kolkata,Apartment,2.0,Resale,720,paid,2400000
17351186,AGENT,Avijit Mondol,Project,Under Construction,22.49327469,88.40232086,Mukundapur,Kolkata South,Kolkata,Apartment,1.0,Primary,460,paid,1000000
17351185,AGENT,Avijit Mondol,Project,Under Construction,22.49894905,88.40645599,Mukundapur,Kolkata South,Kolkata,Apartment,1.0,Primary,240,paid,500000
17353584,AGENT,Avijit Mondol,Project,Ready to move,22.49269295,88.40969849,Mukundapur,Kolkata South,Kolkata,Apartment,2.0,Resale,1030,paid,4500000
17353551,AGENT,Avijit Mondol,Project,Ready to move,22.49269295,88.40969849,Mukundapur,Kolkata South,Kolkata,Apartment,2.0,Resale,916,paid,4200000
17353546,AGENT,Avijit Mondol,Purbalok,Ready to move,22.49269295,88.40969849,Garia,Kolkata South,Kolkata,Apartment,3.0,Resale,1400,paid,6000000
17353545,AGENT,Avijit Mondol,Project,Under Construction,22.49269295,88.40969849,Mukundapur,Kolkata South,Kolkata,Apartment,2.0,Primary,760,paid,2700000
17353536,AGENT,Avijit Mondol,Project,Ready to move,22.49927711,88.40743256,Mukundapur,Kolkata South,Kolkata,Apartment,2.0,Primary,765,paid,1950000
17351700,AGENT,Souptik Realty,Urban Greens Phase II A,Under Construction,22.62770462,88.44548035,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Primary,848,paid,5700000
17352084,AGENT,RMC REALTORS,Project,Ready to move,22.36246681,88.4363327,Baruipur,Kolkata South,Kolkata,Apartment,2.0,Resale,658,paid,1400000
17352068,AGENT,RMC REALTORS,Project,Ready to move,22.36246681,88.4363327,Baruipur,Kolkata South,Kolkata,Apartment,2.0,Resale,657,paid,1350000
17354969,AGENT,Souvik mitra,Villa,Ready to move,22.50109863,88.34046173,Tollygunge,Kolkata South,Kolkata,Apartment,3.0,Resale,1428,paid,20000000
17354723,AGENT,RMC REALTORS,Project,Ready to move,22.36246681,88.4363327,Baruipur,Kolkata South,Kolkata,Apartment,2.0,Resale,661,paid,1375000
17354667,AGENT,RMC REALTORS,Project,Ready to move,22.36246681,88.4363327,Baruipur,Kolkata South,Kolkata,Apartment,2.0,Resale,660,paid,1350000
17354605,AGENT,RMC REALTORS,Project,Ready to move,22.36246681,88.4363327,Baruipur,Kolkata South,Kolkata,Apartment,2.0,Resale,659,paid,1325000
17355293,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,4.0,Primary,1000,paid,4500000
17355179,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,810,paid,3520000
17355142,AGENT,RMC REALTORS,Project,Under Construction,22.56690979,88.50862122,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,805,paid,3510000
17355116,AGENT,Reliable Realtors,Project,Ready to move,22.69996452,88.38292694,Sodepur,Kolkata North,Kolkata,Villa,4.0,Resale,1475,paid,7500000
17355083,AGENT,RMC REALTORS,Project,Under Construction,22.56690979,88.50862122,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,800,paid,3500000
17355054,AGENT,Lokenath Property,Project,Ready to move,22.51152229,88.38513947,Kasba,Kolkata South,Kolkata,Apartment,2.0,Primary,700,unpaid,3350000
17358257,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,823,paid,3535000
17358214,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,822,paid,3530000
17359366,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,970,unpaid,3585000
17359349,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1050,unpaid,3885000
17359328,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1045,unpaid,3850000
17359316,AGENT,Warsi Realty,Project,Ready to move,22.6527729,88.42816162,Birati,Kolkata North,Kolkata,Apartment,2.0,Primary,860,paid,2752000
17359309,AGENT,SUBHAJIT ENTERPRISE,Project,Under Construction,22.66296959,88.37739563,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1040,unpaid,3800000
17359283,AGENT,Warsi Realty,Project,Ready to move,22.64304924,88.42705536,Airport,Other,Kolkata,Apartment,3.0,Primary,1175,paid,3996200
17359221,AGENT,Warsi Realty,Project,Ready to move,22.65254021,88.4282608,Birati,Kolkata North,Kolkata,Apartment,2.0,Primary,909,paid,2908800
17359143,AGENT,Warsi Realty,Project,Ready to move,22.65262032,88.42835999,Birati,Kolkata North,Kolkata,Apartment,2.0,Primary,913,paid,3195000
17359733,AGENT,Mondal Enterprise,Project,Under Construction,22.70187759,88.38426208,Sodepur,Kolkata North,Kolkata,Apartment,3.0,Primary,1150,paid,3105000
17359680,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,911,paid,3000000
17359662,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,912,paid,3000000
17359626,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,913,paid,3000000
17359581,AGENT,RMC REALTORS,Project,Ready to move,22.58172035,88.3379364,Howrah Railway Station,Kolkata West,Kolkata,Apartment,2.0,Primary,914,paid,3000000
17361416,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Primary,700,paid,2400000
17361264,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Resale,802,paid,3400000
17361173,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,3.0,Resale,1399,paid,8000000
17358257,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,823,paid,3535000
17358214,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,822,paid,3530000
17358180,AGENT,Housing Estate,Bandhan,Under Construction,22.70399094,88.4720993,Madhyamgram,Kolkata North,Kolkata,Apartment,2.0,Primary,920,paid,3496000
17358129,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,3.0,Primary,820,paid,3521000
17358119,AGENT,Housing Estate,Courtyard,Under Construction,22.67993736,88.45516205,Madhyamgram,Kolkata North,Kolkata,Apartment,2.0,Primary,1020,paid,4233000
17358858,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,4.0,Primary,1005,paid,4525000
17358757,AGENT,Lokenath Property,Project,Ready to move,22.51828384,88.38300323,Kasba,Kolkata South,Kolkata,Apartment,2.0,Resale,918,unpaid,5750000
17358747,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,4.0,Primary,1005,paid,4520000
17358720,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,4.0,Primary,1004,paid,4515000
17358693,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,4.0,Primary,1003,paid,4522000
17358628,AGENT,RMC REALTORS,Project,Under Construction,22.57851791,88.49215698,New Town,Kolkata East,Kolkata,Villa,4.0,Primary,1001,paid,4510000
17358566,AGENT,Reliable Realtors,Project,Ready to move,22.66641235,88.39214325,Belghoria,Kolkata North,Kolkata,Independent House,4.0,Resale,3300,paid,5900000
17360990,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Primary,1293,paid,7400000
17360937,AGENT,ACE Realtors Property Dealers,Project,Ready to move,22.46341705,88.38856506,Garia,Kolkata South,Kolkata,Apartment,2.0,Resale,800,paid,2200000
17343000,AGENT,Mondal Enterprise,Project,Ready to move,22.72315979,88.36592102,Khardah,Kolkata North,Kolkata,Independent House,5.0,Resale,2200,paid,5600000
17344007,AGENT,Rexellence Realty Solutions LLP,Sunshine 2,Under Construction,22.69163895,88.33599854,Dankuni,Kolkata West,Kolkata,Apartment,3.0,Primary,840,paid,3095000
17343911,AGENT,Rexellence Realty Solutions LLP,Greenwood Nest,Under Construction,22.58919716,88.45430756,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1748,paid,10500000
17343800,AGENT,Rexellence Realty Solutions LLP,Greenwood Nest,Under Construction,22.58919716,88.45430756,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1563,paid,9200000
17343749,AGENT,Mondal Enterprise,Project,Ready to move,22.68419266,88.38286591,Agarpara,Kolkata North,Kolkata,Apartment,2.0,Resale,785,paid,2025000
17343732,AGENT,Rexellence Realty Solutions LLP,Urban Vista Phase 1,Under Construction,22.63356209,88.47403717,Rajarhat,Kolkata East,Kolkata,Apartment,3.0,Primary,1250,paid,5500000
17343699,AGENT,Rexellence Realty Solutions LLP,Urban Vista Phase 1,Under Construction,22.63356209,88.47403717,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Primary,800,paid,4500000
17343698,AGENT,Rexellence Realty Solutions LLP,Urban Vista Phase 1,Under Construction,22.63356209,88.47403717,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Primary,800,paid,4500000
17343662,AGENT,Rexellence Realty Solutions LLP,Swan Court,Under Construction,22.6139679,88.47955322,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1565,paid,10800000
17347354,AGENT,Mondal Enterprise,Project,Ready to move,22.68369484,88.38236237,Agarpara,Kolkata North,Kolkata,Apartment,2.0,Primary,600,paid,1499000
17347317,AGENT,Mondal Enterprise,Project,Ready to move,22.68475533,88.38703156,Agarpara,Kolkata North,Kolkata,Apartment,3.0,Primary,1128,paid,2700000
17347269,AGENT,Mondal Enterprise,Project,Ready to move,22.70126343,88.37299347,Sodepur,Kolkata North,Kolkata,Apartment,2.0,Primary,735,paid,1765000
17347210,AGENT,Mondal Enterprise,Project,Ready to move,22.66543579,88.38550568,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1051,paid,3780000
17347209,AGENT,Mondal Enterprise,Project,Ready to move,22.66543579,88.38550568,Belghoria,Kolkata North,Kolkata,Apartment,3.0,Primary,1051,paid,3780000
17341050,AGENT,Biplab Biswas,Project,Ready to move,22.48755836,88.31021881,Behala,Kolkata South,Kolkata,Apartment,3.0,Resale,1550,paid,6500000
17344007,AGENT,Rexellence Realty Solutions LLP,Sunshine 2,Under Construction,22.69163895,88.33599854,Dankuni,Kolkata West,Kolkata,Apartment,3.0,Primary,840,paid,3095000
17343911,AGENT,Rexellence Realty Solutions LLP,Greenwood Nest,Under Construction,22.58919716,88.45430756,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1748,paid,10500000
17343800,AGENT,Rexellence Realty Solutions LLP,Greenwood Nest,Under Construction,22.58919716,88.45430756,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1563,paid,9200000
17343749,AGENT,Mondal Enterprise,Project,Ready to move,22.68419266,88.38286591,Agarpara,Kolkata North,Kolkata,Apartment,2.0,Resale,785,paid,2025000
17343732,AGENT,Rexellence Realty Solutions LLP,Urban Vista Phase 1,Under Construction,22.63356209,88.47403717,Rajarhat,Kolkata East,Kolkata,Apartment,3.0,Primary,1250,paid,5500000
17343699,AGENT,Rexellence Realty Solutions LLP,Urban Vista Phase 1,Under Construction,22.63356209,88.47403717,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Primary,800,paid,4500000
17343698,AGENT,Rexellence Realty Solutions LLP,Urban Vista Phase 1,Under Construction,22.63356209,88.47403717,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Primary,800,paid,4500000
17343662,AGENT,Rexellence Realty Solutions LLP,Swan Court,Under Construction,22.6139679,88.47955322,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1565,paid,10800000
17343599,AGENT,Rexellence Realty Solutions LLP,Green Heights II,Under Construction,22.63344383,88.46679688,Rajarhat,Kolkata East,Kolkata,Apartment,3.0,Primary,1111,paid,5500000
17345509,AGENT,Property Partners,Pines,Ready to move,22.63559532,88.45768738,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Resale,1000,paid,6000000
17345046,AGENT,ramu,Project,Under Construction,17.60816956,78.08282471,Sangareddy,EM Bypass,Kolkata,Independent House,2.0,Primary,1233,unpaid,5200000
17330726,AGENT,BricksBee Pvt Ltd,Project,Under Construction,13.17528534,77.55558777,Rajanukunte,EM Bypass,Kolkata,Villa,4.0,Primary,2750,unpaid,20620000
17330583,AGENT,BricksBee Pvt Ltd,Project,Under Construction,13.17528534,77.55558777,Rajanukunte,EM Bypass,Kolkata,Villa,4.0,Primary,3050,unpaid,22875000
17335496,AGENT,Sunshine Consultancy,Akshara Swiss Court,Ready to move,22.4855442,88.31611633,Behala,Kolkata South,Kolkata,Apartment,3.0,Resale,1050,unpaid,5600000
17335413,AGENT,Reliable Realtors,Project,Ready to move,22.72042847,88.37059021,Khardah,Kolkata North,Kolkata,Independent House,3.0,Resale,1635,paid,4500000
17335312,AGENT,Sunshine Consultancy,Project,Ready to move,22.45935249,88.30760956,Thakurpukur,Kolkata South,Kolkata,Apartment,3.0,Resale,1504,unpaid,6300000
17335311,AGENT,Sunshine Consultancy,Project,Ready to move,22.45935249,88.30760956,Thakurpukur,Kolkata South,Kolkata,Apartment,3.0,Resale,1504,unpaid,6300000
17335244,AGENT,Sunshine Consultancy,Project,Ready to move,22.48729134,88.34375763,Ashok Nagar,Other,Kolkata,Apartment,3.0,Primary,1595,unpaid,11000000
17335958,AGENT,Souvik mitra,Project,Ready to move,22.47889709,88.3682785,Ganguly Bagan,Kolkata South,Kolkata,Independent House,4.0,Resale,2500,paid,13000000
17335942,AGENT,Ipcon realty solution,Project,Ready to move,22.62688637,88.38075256,Sinthi,Kolkata North,Kolkata,Apartment,4.0,Resale,1635,paid,9500000
17335630,AGENT,Individual Agent,Project,Ready to move,22.49136543,88.38719177,Santoshpur,Kolkata South,Kolkata,Apartment,2.0,Resale,1050,unpaid,3500000
17336348,AGENT,P BIBI PROPERTIES,Project,Ready to move,22.75817108,88.3770752,Barrackpore,Kolkata North,Kolkata,Apartment,2.0,Resale,765,paid,1750000
17336265,AGENT,Ipcon realty solution,Project,Ready to move,22.6892395,88.4781723,Madhyamgram,Kolkata North,Kolkata,Independent House,2.0,Resale,1000,paid,3400000
17330726,AGENT,BricksBee Pvt Ltd,Project,Under Construction,13.17528534,77.55558777,Rajanukunte,EM Bypass,Kolkata,Villa,4.0,Primary,2750,unpaid,20620000
17330583,AGENT,BricksBee Pvt Ltd,Project,Under Construction,13.17528534,77.55558777,Rajanukunte,EM Bypass,Kolkata,Villa,4.0,Primary,3050,unpaid,22875000
17330582,AGENT,BricksBee Pvt Ltd,Project,Under Construction,13.17528534,77.55558777,Rajanukunte,EM Bypass,Kolkata,Villa,4.0,Primary,3500,unpaid,26250000
17331041,AGENT,BricksBee Pvt Ltd,Project,Under Construction,13.17528534,77.55558777,Rajanukunte,EM Bypass,Kolkata,Villa,3.0,Primary,2590,unpaid,19425000
17334111,AGENT,Loknath Properties,Project,Ready to move,22.57775879,88.46337128,New Town,Kolkata East,Kolkata,Independent Floor,3.0,Primary,1480,paid,7300000
17335024,AGENT,Individual Agent,Project,Ready to move,22.51827049,88.34702301,Kalighat,Kolkata South,Kolkata,Apartment,2.0,Resale,950,unpaid,7000000
17334972,AGENT,Individual Agent,Project,Ready to move,22.50587273,88.36333466,Jodhpur Park,Kolkata South,Kolkata,Apartment,4.0,Resale,3000,unpaid,31500000
17337029,AGENT,P BIBI PROPERTIES,Project,Ready to move,22.7150383,88.37913513,Khardah,Kolkata North,Kolkata,Apartment,3.0,Resale,1000,paid,2200000
17337359,AGENT,Souptik Realty,Empire,Under Construction,22.69687653,88.44582367,Madhyamgram,Kolkata North,Kolkata,Apartment,2.0,Primary,1000,paid,3350000
